"logFC.day16"	"logFC.day18"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-174285"	-0.158621471612381	-0.958157355657843	7.27636778768664	11.4525637870421	4.34116262744979e-05	0.000174834508553622	"gene-174285"
"gene-158759"	-0.355029642402786	-0.260311929904971	6.02070161751393	11.4513771716605	4.34514903791258e-05	0.000174849132198998	"gene-158759"
"gene-179041"	-3.17322651162139	0.311719469092866	5.42765490427721	11.4510492515715	4.34625134079954e-05	0.000174849132198998	"gene-179041"
"gene-18276"	-0.246103126609998	-0.475796290388129	12.2247725015326	11.4509823805568	4.34647616281767e-05	0.000174849132198998	"gene-18276"
"gene-428747"	3.02410550615068	4.22294193735954	1.45860850861371	11.7774528887514	4.39186669726707e-05	0.000176608043735263	"gene-428747"
"gene-227164"	-0.0309274186931045	0.27046386405384	5.92949455433942	11.4346811931992	4.40163855862954e-05	0.000176933847371922	"gene-227164"
"gene-203563"	0.334941286216557	0.636129378222939	4.33727755681831	11.4333778712068	4.4060798155232e-05	0.000177045209424664	"gene-203563"
"gene-16032"	0.0161582723722805	1.77086624136552	-0.493867664498381	11.4304104520987	4.41620887448507e-05	0.000177384947816694	"gene-16032"
"gene-421350"	-0.336154264819679	-0.900560718610207	8.90092206682321	11.4243814532967	4.43686201695801e-05	0.000178146987236404	"gene-421350"
"gene-243753"	-0.307726056055285	-1.1481976128761	5.12254575770953	11.4166613778491	4.46345288372935e-05	0.000179146768015137	"gene-243753"
"gene-251715"	-0.109107228232411	-0.811898233224056	9.95385544700082	11.4113550426083	4.48182464284482e-05	0.000179809965065854	"gene-251715"
"gene-85237"	0.147455100760358	0.462996937907042	5.63857278224029	11.4109095974166	4.48337040113237e-05	0.000179809965065854	"gene-85237"
"gene-146948"	-0.051573815808338	0.525686129348679	5.67012266674523	11.4022901256113	4.5133890877385e-05	0.000180945405878461	"gene-146948"
"gene-299296"	-0.894198157564062	-2.93655382895319	7.81633869534964	11.391932004281	4.54973576754442e-05	0.00018233358620613	"gene-299296"
"gene-285262"	-0.490228991345962	-0.41117349009599	5.29959511353927	11.3914014820523	4.55160543300785e-05	0.00018233955073025	"gene-285262"
"gene-79040"	-0.0196622276826128	0.337583810939662	4.71341120091537	11.3735078169727	4.61512992585855e-05	0.000184748893343903	"gene-79040"
"gene-270003"	0.219032243807773	0.466449741836024	5.23989442482104	11.3734783762585	4.61523518951784e-05	0.000184748893343903	"gene-270003"
"gene-134174"	-0.699833763027916	-1.37505694743546	7.14307239293985	11.3626256915711	4.6542066122442e-05	0.000186238569725603	"gene-134174"
"gene-242512"	1.56652995297625	2.67562688240335	-0.386631763123691	11.361255439899	4.65915105342869e-05	0.000186366042137148	"gene-242512"
"gene-275221"	0.221669230044903	0.562573617222141	6.73519999731695	11.3604280369	4.66213927777273e-05	0.000186415199197282	"gene-275221"
"gene-229371"	0.868387478156362	2.6284347734977	1.33720596077826	11.3567134497984	4.67557901087606e-05	0.000186882064123888	"gene-229371"
"gene-14736"	-0.604510534117741	-1.1886656826436	5.93917318832986	11.3268891620035	4.78493674903077e-05	0.000191180956986162	"gene-14736"
"gene-226271"	0.248202434083723	0.843760096117594	5.31297110322174	11.325848766187	4.78879861154711e-05	0.000191263136403894	"gene-226271"
"gene-114197"	0.581345443121814	0.657838676080578	3.56032793994324	11.3178524779028	4.81858706809337e-05	0.000192380363879116	"gene-114197"
"gene-11281"	-0.354746427659421	-0.869877927568814	8.08230092041767	11.3158218787345	4.82618184181131e-05	0.000192611008647204	"gene-11281"
"gene-411502"	-0.420191417116221	0.104342137227514	5.79560032973186	11.3017018948068	4.87933351176817e-05	0.000194658952901715	"gene-411502"
"gene-286744"	-0.480690580104607	-0.815528318043846	7.50486582205494	11.2850723163962	4.94270262741524e-05	0.000197112822883296	"gene-286744"
"gene-232586"	0.0195852268118667	0.490567448007344	3.87828357214079	11.2819097327056	4.95484925656686e-05	0.000197461320253251	"gene-232586"
"gene-245743"	0.49213257235414	1.82054225301225	6.38166977445147	11.2818267285589	4.95516846501883e-05	0.000197461320253251	"gene-245743"
"gene-17136"	-0.0128017689996035	0.436728273546868	7.31599046410841	11.2535948860203	5.06497239026192e-05	0.0002017207151598	"gene-17136"
"gene-337702"	1.3255078598644	2.07680195451552	2.55801440431821	11.2533685241652	5.06586280709918e-05	0.0002017207151598	"gene-337702"
"gene-8257"	-0.317842221770381	-0.83104912790646	7.82806933903308	11.2468617564476	5.09152657279909e-05	0.000202666474700899	"gene-8257"
"gene-23834"	1.95331843214417	4.58488139419404	2.18013891891164	11.9240228070898	5.10603929242707e-05	0.000203167827046779	"gene-23834"
"gene-90524"	-0.246239643475305	-0.340897827772726	5.35344153375834	11.2420391584226	5.11063370250468e-05	0.000203204098789435	"gene-90524"
"gene-219292"	-0.127012906259509	-0.812161456834394	6.47760528361696	11.242000701154	5.11078636536283e-05	0.000203204098789435	"gene-219292"
"gene-131860"	-0.171467051401165	-0.534282232295018	4.65240884966294	11.2367735610916	5.1315799934245e-05	0.000203954319618627	"gene-131860"
"gene-145773"	-0.207994921984751	0.607046309845572	6.3016625492123	11.2352214428498	5.13777103060157e-05	0.0002041238164239	"gene-145773"
"gene-88763"	0.167182980128279	1.70888925850223	1.49947096010938	11.2310343546098	5.15451058171037e-05	0.00020471212190331	"gene-88763"
"gene-144428"	0.310908760885523	0.429517072000127	5.80983270498958	11.2298752182587	5.15915456876122e-05	0.000204819789473937	"gene-144428"
"gene-278941"	0.581073848964746	1.45315805870044	1.24567554481012	11.2239117232344	5.18311475164165e-05	0.000205693947222453	"gene-278941"
"gene-134261"	1.28232288125183	2.0309514616584	-0.355591590741116	11.2213475170084	5.19345229853245e-05	0.000206027033153313	"gene-134261"
"gene-115958"	0.442071613967399	0.628523885412958	9.17935386711376	11.2150196901733	5.21905338019498e-05	0.000206965155750546	"gene-115958"
"gene-239890"	-0.204847914649696	-0.259523842254404	7.77238902270798	11.2130803203943	5.2269255546538e-05	0.000207199787419049	"gene-239890"
"gene-264360"	-0.149044479516896	-0.64548855327099	6.54485786136935	11.1977448125158	5.28960499068372e-05	0.00020960603770114	"gene-264360"
"gene-120893"	-0.74936236602581	-0.79591681636094	4.44190199711018	11.1860689550077	5.33784317536112e-05	0.00021143845340608	"gene-120893"
"gene-124987"	-0.108043510231317	-0.715435404742193	7.43938382592633	11.1698606183427	5.40555600392171e-05	0.000214040625626137	"gene-124987"
"gene-368931"	0.170193666365987	-0.719890570707262	4.96705223545879	11.162608643255	5.43613689304812e-05	0.000215171111388636	"gene-368931"
"gene-391752"	2.64831754776259	3.15759330247783	2.61309616859503	11.152650341839	5.47841946294952e-05	0.000216763751416778	"gene-391752"
"gene-336133"	0.267178874491036	0.398415956901909	6.13052849691438	11.151250305731	5.48439094810008e-05	0.000216919023837508	"gene-336133"
"gene-162857"	-0.560246189443775	-2.00076845576948	6.82583381799247	11.144371921612	5.51382599256478e-05	0.000218001866482151	"gene-162857"
"gene-272401"	-0.226457212766645	-0.359300708896953	7.01586776813981	11.1417650644397	5.52502395296138e-05	0.000218363124974184	"gene-272401"
"gene-125566"	0.212298415612387	0.447965096473439	4.58332741926451	11.1405075684656	5.53043396225907e-05	0.000218495444683434	"gene-125566"
"gene-58716"	0.0421191024324702	0.517295043699455	6.96010318886475	11.1325755917583	5.5646844223704e-05	0.000219766664701591	"gene-58716"
"gene-148952"	-0.410533088092078	-0.915601802613186	6.0667876430594	11.1224836329312	5.60857643462492e-05	0.000221417570422078	"gene-148952"
"gene-377856"	-0.118059663491862	-1.12710630720621	8.67169763977624	11.116492882434	5.63479923104516e-05	0.000222369954011749	"gene-377856"
"gene-406094"	-0.627525929416975	-1.29026266636364	5.46909949479614	11.1132469336851	5.64905993133301e-05	0.000222849735787061	"gene-406094"
"gene-114574"	0.0567377505874754	0.333984434098239	5.69391137404795	11.1076017111778	5.67394979144269e-05	0.000223706913834057	"gene-114574"
"gene-2787"	1.49812667654143	2.02198435684908	3.72732768623421	11.1069200517273	5.67696283769083e-05	0.000223706913834057	"gene-2787"
"gene-188973"	0.375387986895485	0.718609703194054	5.60094894855682	11.1068839595056	5.67712241694771e-05	0.000223706913834057	"gene-188973"
"gene-297013"	2.31086913194089	3.03462682488352	3.37396518768046	11.1053915891486	5.68372485852212e-05	0.000223883823795169	"gene-297013"
"gene-272422"	0.166450331546453	0.406488748241079	5.31099717817757	11.1008645822047	5.70380114583103e-05	0.000224591144337516	"gene-272422"
"gene-401918"	-0.0409883409785428	-0.41315522067049	7.0911726231297	11.0900024719919	5.75226937552779e-05	0.000226415476608813	"gene-401918"
"gene-419351"	1.65582491120129	2.52384533231442	-0.0515010934548652	11.0889368573171	5.75704699053931e-05	0.000226519383259393	"gene-419351"
"gene-117718"	-0.500259327250103	-0.951432438497193	6.21421246390768	11.0829958984279	5.78375758925795e-05	0.000227485877564132	"gene-117718"
"gene-163201"	0.331551810645223	0.575149615803077	4.98355212556578	11.0811884317635	5.79190916416465e-05	0.000227721964762481	"gene-163201"
"gene-224250"	2.64492036068511	5.34007133756118	2.13451640241414	11.0772273027129	5.80981486888961e-05	0.000228341240173421	"gene-224250"
"gene-281058"	-0.0822707253964511	-0.482069042681554	6.90812389950213	11.0735972677147	5.82627376212891e-05	0.000228903213880304	"gene-281058"
"gene-10737"	0.438263017509508	0.826184692017569	5.66876883763207	11.0706142875236	5.83983464236831e-05	0.000229350955784042	"gene-10737"
"gene-160437"	-0.707043578743217	-1.35549888838523	4.60197919953299	11.0657426969001	5.86205094587222e-05	0.000230138169034687	"gene-160437"
"gene-88092"	-0.378237201377468	-0.507461738756277	5.14144786449254	11.0643812503837	5.86827514231438e-05	0.000230297197807271	"gene-88092"
"gene-72594"	0.53266278899707	0.598065440772801	4.93216348441465	11.0612499956266	5.88261619736658e-05	0.000230774532496469	"gene-72594"
"gene-62891"	1.80620558567615	2.88711332129362	7.67531511671428	11.0602461322185	5.8872214671463e-05	0.000230854578965492	"gene-62891"
"gene-174924"	0.321489409304654	0.715975912581627	4.81790653997981	11.0598556038205	5.88901403306648e-05	0.000230854578965492	"gene-174924"
"gene-167263"	-0.242453431020706	-0.56664424707375	6.13347544501083	11.054354729297	5.91432317518208e-05	0.000231760977678363	"gene-167263"
"gene-294316"	-0.0864884470059567	-0.45840202056929	10.6370917363683	11.05087099838	5.93040924750969e-05	0.000232305421022598	"gene-294316"
"gene-152373"	-0.334742312564001	-0.762691844238772	5.16504588524769	11.0489360006606	5.93936344484624e-05	0.000232570196088658	"gene-152373"
"gene-83782"	0.0396269725263395	1.83858938641708	-0.587850914336353	11.0434233598563	5.96494927308253e-05	0.000233485786839979	"gene-83782"
"gene-220093"	0.256884573812349	0.439322737745248	5.84004645790743	11.0376271515409	5.99197315575951e-05	0.000234456970304386	"gene-220093"
"gene-65163"	0.147977599543886	0.64583803087023	5.59220423993037	11.0364562946698	5.99744731246348e-05	0.000234584539397797	"gene-65163"
"gene-163898"	-1.66412059572633	-3.13675996534083	2.74184401913421	11.0342941521989	6.00756955332886e-05	0.000234893752719825	"gene-163898"
"gene-49094"	2.4059252048923	2.97848389854456	-0.893880995744319	11.2426118625393	6.02383117679562e-05	0.000235442696972801	"gene-49094"
"gene-136758"	0.371966494921074	0.54968106827086	5.79220940983071	11.0288776885436	6.03300415115368e-05	0.000235714277233128	"gene-136758"
"gene-89798"	0.0546247396908669	0.477510582479326	6.51352699421285	11.0173968357301	6.08728164622521e-05	0.000237747277270189	"gene-89798"
"gene-40919"	1.06768554213744	0.810845490564209	9.5975091412864	11.0109897482711	6.1177896113273e-05	0.000238850769055357	"gene-40919"
"gene-3915"	-2.44404611058825	-2.32128487501434	4.89789960366691	11.0081245652868	6.13148315437622e-05	0.000239297221008362	"gene-3915"
"gene-216765"	-0.0609360360456607	0.269123657150444	5.62517467606486	11.0072611685556	6.13561573892672e-05	0.000239370340094505	"gene-216765"
"gene-109867"	3.34049781465503	4.50337929588358	3.35251083438033	11.2103591628364	6.17179526392157e-05	0.000240693200649661	"gene-109867"
"gene-317372"	0.722490468026734	2.77714300187399	3.96571526578947	10.9888559232478	6.22439385898035e-05	0.000242655177813671	"gene-317372"
"gene-26923"	0.286921532603292	0.512252676453444	5.1674868672779	10.9822929311145	6.25636832090834e-05	0.000243811985025174	"gene-26923"
"gene-329971"	-1.52173537005987	1.79266264495864	0.740832224567767	10.9815559822064	6.25996919121421e-05	0.000243862623345977	"gene-329971"
"gene-147446"	-0.182219233200014	-0.434226920048607	6.54715522238127	10.9741472014667	6.29628819265583e-05	0.000245187319696366	"gene-147446"
"gene-237372"	0.770912775672582	1.59134489047829	0.103953158631591	10.9696630335381	6.31837519671073e-05	0.000245957030067402	"gene-237372"
"gene-254351"	-0.028422170212038	0.328387553593255	4.80956873654468	10.9642362749296	6.34521128847064e-05	0.00024691097617567	"gene-254351"
"gene-54315"	0.941713385054781	0.532034477771521	7.00859920290634	10.9621558421353	6.35553029583234e-05	0.000247221729128632	"gene-54315"
"gene-420821"	2.96628767699894	4.71792325250322	2.21085309017289	11.6082194683537	6.36396312509806e-05	0.000247458911095556	"gene-420821"
"gene-247694"	0.693868298991132	1.45578285500369	1.36061144966316	10.9507306364398	6.41250723506899e-05	0.00024925505012029	"gene-247694"
"gene-269627"	-0.293865051048839	1.25262170724184	3.69344103976238	10.9403357313283	6.46480121623167e-05	0.000251195576410674	"gene-269627"
"gene-423075"	3.3905975089799	4.1365362901027	1.99598077239526	10.9383588626964	6.47479570555596e-05	0.00025149169829938	"gene-423075"
"gene-374125"	-0.369548156654986	-0.510042250548269	6.18645065345085	10.9369602877987	6.48187607508748e-05	0.000251674455447515	"gene-374125"
"gene-191082"	-1.01803544300748	1.76802907437486	0.828703444658664	10.9126731482555	6.6061054342098e-05	0.000256404004325593	"gene-191082"
"gene-211420"	0.422380492820092	0.375328843638243	5.36433508358435	10.9111629599256	6.61391026045625e-05	0.000256612937091887	"gene-211420"
"gene-280567"	0.350702014678313	1.82301556905903	1.21934720917575	10.9077589580103	6.63153723253506e-05	0.000257202666603007	"gene-280567"
"gene-244835"	0.127869916891225	0.419557905780421	3.85749811488347	10.9066347171237	6.63736947658046e-05	0.000257334676084327	"gene-244835"
"gene-80881"	0.861451052992836	1.16927419213785	4.03566353413645	10.9052483704704	6.64456869499175e-05	0.000257472428579942	"gene-80881"
"gene-289106"	0.03339616270608	0.267407971285257	6.52891063383834	10.9050148200658	6.6457822967737e-05	0.000257472428579942	"gene-289106"
"gene-7202"	-0.291327990203491	-0.560591818800718	4.88562595971318	10.9034499675238	6.65391963210806e-05	0.00025769346645401	"gene-7202"
"gene-85606"	-0.995476163395292	-2.35368789872708	6.45964447490634	10.9021296185063	6.66079348111462e-05	0.00025786542830066	"gene-85606"
"gene-6936"	0.201787997433869	0.43942803369948	5.71714387453948	10.9006554228202	6.66847687441749e-05	0.000258068593722891	"gene-6936"
"gene-84224"	0.426992805070035	0.593545883671711	6.19933438754811	10.8988591915983	6.67785097822809e-05	0.000258337017032876	"gene-84224"
"gene-117360"	-0.825739194014771	-3.30742557858084	5.55500072437092	10.8909059042957	6.71951996962004e-05	0.000259826235421866	"gene-117360"
"gene-299844"	-0.374840786495689	-0.310291279008729	4.55155662489262	10.8905766809338	6.72125057843842e-05	0.000259826235421866	"gene-299844"
"gene-123816"	3.17339032901634	4.94912264460427	7.12231271526959	10.8716478928141	6.82152503216364e-05	0.000263606415903742	"gene-123816"
"gene-144578"	0.2427487571866	0.531268653936611	5.28887610729026	10.8588507685919	6.89018537396764e-05	0.000266162611092093	"gene-144578"
"gene-80128"	-2.5385512827928	-1.31850535240734	1.80873717264878	10.8583032836434	6.89313855246124e-05	0.000266179650517053	"gene-80128"
"gene-381698"	-0.276221989932862	0.898092446303743	3.15466862723736	10.8564404510407	6.90319654986054e-05	0.00026647093130172	"gene-381698"
"gene-172379"	-0.0199422623683567	-0.847524767696981	6.99235853471796	10.8472829885206	6.95285976772528e-05	0.000268290247992779	"gene-172379"
"gene-92276"	-0.248193442140531	-0.446132260576974	6.96393331991287	10.8444193812633	6.96846491991324e-05	0.00026879451871642	"gene-92276"
"gene-357398"	0.0729875607103433	-0.675960736723745	10.0607117747629	10.8421867853477	6.98065630892756e-05	0.000269166791300569	"gene-357398"
"gene-271281"	-0.146077416163327	0.452956487286873	4.8477800945038	10.8389922827619	6.99813837111703e-05	0.00026974272164553	"gene-271281"
"gene-203412"	0.619670867154737	1.80016801004983	5.0824892931591	10.8297441736143	7.04900266301693e-05	0.000271604480790281	"gene-203412"
"gene-280397"	0.104735273179735	0.444033555705314	6.72896412894765	10.8245899840836	7.07751491632786e-05	0.000272603955119629	"gene-280397"
"gene-142462"	-0.706378719815197	-0.992131742683792	5.21131636570658	10.8131819708878	7.14104381961821e-05	0.000274950945903614	"gene-142462"
